"","2017-12-31","2018-12-31","2019-12-31"
"순이자손익",NA,0.0818771012565993,0.0459577937423197
"순수수료손익",NA,0.118236663341409,0.0892381761540639
"금융상품관련손익",NA,0.608808471842345,0.350087183958152
"위험회피회계파생상품관련손익",NA,NA,NA
"외환거래(환율변동)손익",NA,-0.59877529286475,1.10384870603849
"금융자산관련손익",NA,-0.0249182519034776,0.1339191736225
"기타영업손익",NA,0.211300147027935,0.292675072456588
"순영업수익",NA,0.0729425531401549,0.0608384256890844
"판매비와관리비",NA,0.0283774836163435,0.0624081115335868
"영업이익",NA,0.134106990820568,0.0588847602404849
